ab2B,DM5,,,
ab3B,VM5d,,,
ab4B,DA2,,,
ab5B,DM3,,,
ac1,VL1,VM1,VL2p,
ac1A,,,,
ac1B,,,,
ac1BC,,,,
ac2,VL1,DP1l,VC5,
ac2A,,,,
ac2B,,,,
ac2BC,,,,
ac3_noOr35a,DL2d,DL2v,VC3l,VC3m
ac3A,DL2d,DL2v,,
ac3A,DL2d,DL2v,,
ac3B,VC3l,VC3m,,
ac4,,,,
Gr21a.Gr63a,V,,,
Ir25a,,,,
Ir31a,VL2p,,,
Ir40a.VP1,,,,
Ir40a.VP4,,,,
Ir41a,VC5,,,
Ir64a.DC4,DC4,,,
Ir64a.DP1m,DP1m,,,
Ir75a,DP1l,,,
Ir75b,DL2d,DL2v,,
Ir75c,DL2d,DL2v,,
Ir75d,VL1,,,
Ir76a,VM4,,,
Ir76b,,,,
Ir84a,VL2a,,,
Ir8a,,,,
Ir92a,VM1,,,
Or10a,DL1,,,
Or13a,DC2,,,
Or19a,DC1,,,
Or19b,DC1,,,
Or1a,,,,
Or22a,DM2,,,
Or22b,DM2,,,
Or22c,,,,
Or23a,DA3,,,
Or24a,,,,
Or2a,DA4m,,,
Or30a,,,,
Or33a,DA2,,,
Or33b,DM5,DM3,,
Or33c,VC1,,,
Or35a,VC3l,VC3m,,
Or42a,VM7d,,,
Or42b,DM1,,,
Or43a,DA4l,,,
Or43b,VM2,,,
Or45a,,,,
Or45b,,,,
Or46a,VA7l,,,
Or47a,DM3,,,
Or47b,VA1v,,,
Or49a,DL4,,,
Or49b,VA5,,,
Or56a,DA2,,,
Or59a,,,,
Or59b,DM4,,,
Or59c,VM7v,,,
Or63a,,,,
Or65a,DL3,,,
Or65b,DL3,,,
Or65c,DL3,,,
Or67a,DM6,,,
Or67b,VA3,,,
Or67c,VC4,,,
Or67d,DA1,,,
Or69a,D,,,
Or71a,VC2,,,
Or74a,,,,
Or7a,DL5,,,
Or82a,VA6,,,
Or83a,,,,
Or83b,,,,
Or83c,DC3,,,
Or85a,DM5,,,
Or85b,VM5d,,,
Or85c,,,,
Or85d,VA4,,,
Or85e,VC1,,,
Or85f,DL4,,,
Or88a,VA1d,,,
Or92a,VA2,,,
Or94a,,,,
Or94b,,,,
Or98a,VM5v,,,
Or98b,VM5d,,,
Or9a,VM3,,,
pb2A,VC1,,,
